,metro,latitude,longitude
0,метро Девяткино,30.442674,60.050282
1,метро Гражданский проспект,30.418195,60.034829
2,метро Академическая,30.396133,60.012719
3,метро Политехническая,-99.149205,19.500649
4,метро Площадь Мужества,30.366614,59.99971
5,метро Лесная,30.344363,59.984769
6,метро Выборгская,30.347309,59.971006
7,метро Площадь Ленина,27.547781,53.892951
8,метро Чернышевская,30.359939,59.944562
9,метро Площадь Восстания,30.360568,59.931522
10,метро Владимирская,30.348207,59.927432
11,метро Пушкинская,27.497125,53.909652
12,метро Балтийская,30.299725,59.907207
13,метро Нарвская,30.275004,59.901111
14,метро Кировский завод,30.26196,59.879642
15,метро Автово,30.260999,59.867281
16,метро Ленинский проспект,30.268356,59.850712
17,метро Проспект Ветеранов,30.252115,59.841961
18,метро Парнас,30.334023,60.066913
19,метро Проспект Просвещения,30.332676,60.051176
20,метро Озерки,30.321869,60.037144
21,метро Удельная,30.315617,60.016681
22,метро Пионерская,30.296671,60.002517
23,метро Черная Речка,30.30083,59.985521
24,метро Петроградская,30.311511,59.966399
25,метро Горьковская,30.318833,59.956147
26,метро Невский проспект,30.327277,59.935435
27,метро Сенная площадь,30.320548,59.927125
28,метро Технологический институт,18.069226,59.346369
29,метро Фрунзенская,27.539337,53.905345
30,метро Московские ворота,30.317961,59.892098
31,метро Электросила,30.318707,59.879164
32,метро Парк Победы,30.321851,59.866459
33,метро Московская,27.627543,53.927893
34,метро Звёздная,30.349447,59.83328
35,метро Купчино,30.375453,59.829807
36,метро Спасская,30.319192,59.926855
37,метро Достоевская,30.346078,59.928307
38,метро Лиговский проспект,30.355178,59.920735
39,метро Обводный канал,30.349699,59.914714
40,метро Волковская,30.358224,59.896003
41,метро Бухарестская,30.369542,59.883656
42,метро Международная,30.379298,59.870208
43,метро Проспект Славы,30.39545,59.856614
44,метро Дунайская,30.410874,59.839863
45,метро Шушары,30.432865,59.820042
46,метро Комендантский проспект,30.258385,60.008716
47,метро Старая Деревня,30.25516,59.989391
48,метро Крестовский остров,30.259553,59.971821
49,метро Чкаловская,30.29218,59.960958
50,метро Спортивная,27.479617,53.908453
51,метро Адмиралтейская,30.315096,59.93598
52,метро Садовая,30.317575,59.927008
53,метро Звенигородская,30.335712,59.922255
54,метро Обухово,30.457847,59.848796
