,price_per_square
105,77028.0
1335,205665.8
384,344999.2
131,281613.8
1197,250000.0
881,197554.0
409,223077.0
480,126620.0
819,350000.0
726,218610.0
200,274842.8
992,235976.0
1129,206900.0
41,334748.8
1124,262998.0
1413,341908.6
1203,246700.0
1314,213368.2
690,164336.0
1226,210284.0
722,295332.0
439,164185.6
44,351785.8
738,209280.2
231,368449.0
1303,72464.0
1445,177261.0
831,186545.0
1059,231603.0
166,232887.0
1208,332414.0
160,408929.4
1019,266315.6
720,280787.0
1332,241277.6
531,199600.0
208,236140.0
1352,327670.0
856,385720.0
580,340000.0
96,267606.0
1477,250000.0
651,413278.4
209,235656.0
1143,222350.0
400,144617.0
669,198796.0
260,360794.8
591,282603.0
565,112292.2
857,179900.0
1112,340016.0
513,230137.0
845,255086.0
1066,214395.8
460,288721.6
767,194598.2
1436,254466.0
238,59761.0
1171,235000.0
1432,147085.2
1154,290261.8
251,417301.4
165,225288.0
1207,152750.6
36,284309.0
682,228819.2
106,208878.0
1087,199485.0
995,257549.0
1229,236222.6
1568,260417.0
678,348324.0
326,335569.8
786,256850.6
913,291102.8
109,380583.6
55,314968.4
970,88289.0
964,258123.8
1437,189740.0
241,353151.0
1183,308076.4
1442,284855.2
697,213422.0
711,214574.8
873,330099.0
602,222657.8
657,223237.0
250,352031.0
1147,420075.0
910,240807.6
346,261796.6
1140,275137.8
1149,264640.8
1241,243892.6
354,319994.0
1440,284855.2
917,341003.6
264,348400.0
1219,300000.0
557,309093.2
1214,165000.0
394,233517.6
190,199571.0
791,230030.2
1088,295000.0
1375,111174.0
1014,241782.2
488,263300.0
1461,253080.0
322,276085.6
1358,236063.6
1293,223500.0
584,340000.0
1266,161775.6
1097,196801.0
747,417382.0
587,250000.0
363,376685.0
987,203271.4
770,175000.0
452,235295.0
249,340103.2
1234,305323.4
1079,218004.2
576,324483.6
1161,265950.8
90,257226.0
398,241434.0
1406,220000.0
836,353536.0
1398,247253.0
402,84877.0
1452,210982.0
1263,201492.2
179,298960.8
68,213376.0
1520,348653.0
631,418519.0
79,332029.0
272,283677.4
1025,188342.2
1258,155218.0
1254,251742.4
352,225000.0
637,250000.0
623,170000.0
1561,156706.0
1517,209872.0
536,265000.0
854,217333.8
554,181599.8
931,351348.0
82,158537.0
438,424055.0
1438,287671.2
376,184714.0
1514,166000.0
389,345324.0
1001,245040.6
223,216291.8
708,142370.0
914,201500.0
1550,179893.0
141,238462.0
765,340000.0
381,103175.0
317,134316.0
928,292707.2
1553,284616.0
353,296146.8
390,373011.0
1374,293953.0
476,147270.0
817,307930.0
547,336418.6
600,285995.0
446,174419.0
880,380000.0
42,332029.0
100,283334.0
1239,194129.4
943,233615.4
1526,158069.0
337,268344.6
858,210547.4
1280,250000.0
338,283334.0
892,423077.0
504,213000.0
187,254432.0
1454,178127.4
1421,298667.0
1294,178344.0
1206,420070.0
1528,130435.0
139,301507.2
1410,139634.0
436,350000.0
466,332785.6
214,398751.6
1494,193966.0
923,204073.4
951,346645.8
478,225989.0
989,303572.0
1111,370063.0
1278,302826.0
636,270754.6
665,307229.0
1381,176792.4
256,236085.0
1221,199302.8
1299,268826.0
406,115385.0
1396,282253.0
1252,135431.0
1249,280000.0
929,319445.0
1489,67648.0
1312,176766.8
510,310450.8
442,313895.6
1032,266908.4
604,270754.6
686,195000.0
287,263597.6
528,267194.6
1268,226959.0
315,387600.0
628,177311.8
332,187186.8
310,189234.6
503,334000.0
424,120664.0
357,155738.0
1185,55715.0
1425,204997.0
806,259800.0
1556,143397.0
1215,211570.2
399,303276.8
1357,318248.6
1395,212556.0
796,370000.0
1347,267430.8
954,107273.0
1435,153183.0
311,219299.0
305,385000.0
1295,214195.8
1157,223910.8
1165,290074.0
1560,201392.0
199,288819.0
1024,309483.0
1163,227774.0
1204,147565.0
1276,236222.6
1145,232797.6
707,285063.0
733,239686.8
177,215349.0
656,218636.0
871,350000.0
1408,432433.0
1462,291500.0
1155,197350.4
533,285043.2
743,255292.0
641,202454.0
495,334928.0
248,400000.0
465,292858.0
40,314968.4
779,339533.0
1113,231783.0
1177,256151.6
1318,297430.8
437,367408.0
216,360794.8
268,182836.0
863,287594.4
1507,368664.0
805,367801.8
595,257469.2
840,450000.0
1541,180017.0
1443,259221.0
189,398751.6
25,252200.4
1132,110000.0
926,357254.4
1393,209940.0
799,244671.0
1016,226689.6
185,166298.0
1018,303215.0
132,336799.2
1065,198100.0
965,180914.0
1530,237600.0
32,205206.6
899,392360.0
161,215349.0
957,244091.0
239,137200.0
548,254014.0
728,316862.0
578,200000.0
718,238000.8
1301,234623.0
469,287340.0
1487,350000.0
1106,404510.0
